drug_name,active_ingredient,category
ZPREXA VELOTAB15 MG AĞIZDA DAĞILABILIR TABLET,Olanzapin,Diğer / Sınıflandırılamadı
İRPRESTAN 150MG FİLM TABLET,İRBESARTAN,Diğer / Sınıflandırılamadı
İRPRESTAN 300 MG FİLM TABLET,İRBESARTAN,Diğer / Sınıflandırılamadı
İRPRESTAN PLUS 150/12.5 MG FİLM TABLET,İRBESARTAN + HIDROKLOROTIYAZID,Diğer / Sınıflandırılamadı
İRPRESTAN PLUS 300 -25 MG FİLM TABLET,IRBESARTAN + HIDROKLOROTIYAZID,Diğer / Sınıflandırılamadı
MAXRELAX MERHEM %25,TIYOKOLŞIKOSID,Diğer / Sınıflandırılamadı
MESPERIN 20 MG DR KAPSÜL,Esomeprazol,Mide
MESPERIN 40 MG DR KAPSÜL,Esomeprazol,Mide
DIPROLENE KREM,Betametazon Dipropionat,Diğer / Sınıflandırılamadı
DIPROLENE POMAT,BETAMETAZON DIPROPIONAT,Diğer / Sınıflandırılamadı
LEUCOVORIN-TEVA 15 MG TABLET,FOLINIK ASIT,Diğer / Sınıflandırılamadı
OLNEGIS 10 MG FILM TABLET,OLANZAPIN DIHIDROKLORÜR TRIHIDRAT,Diğer / Sınıflandırılamadı
OLNEGIS 20 MG FILM TABLET,OLANZAPIN DIHIDROKLORÜR TRIHIDRAT,Diğer / Sınıflandırılamadı
OLNEGIS 5 MG FILM TABLET,OLANZAPIN DIHIDROKLORÜR TRIHIDRAT,Diğer / Sınıflandırılamadı
İNHAFIX 25/125 MCG İNHALASYON İÇIN ÖLÇÜLÜ DOZLU AEROSOL,Salmeterol ksinafoat/ Flutikazon propiyonat,Diğer / Sınıflandırılamadı
İNHAFIX 25/50 MCG İNHALASYON İÇIN ÖLÇÜLÜ DOZLU AEROSOL,Salmeterol ksinafoat/ Flutikazon propiyonat,Diğer / Sınıflandırılamadı
ATROPIN SÜLFAT BIOFARMA 0.25 MG/ 1 ML AMPUL,ATROPIN SÜLFAT,Diğer / Sınıflandırılamadı
ATROPIN SÜLFAT BIOFARMA 0.5 MG/ 1 ML AMPUL,ATROPIN SÜLFAT,Diğer / Sınıflandırılamadı
ATROPIN SÜLFAT BIOFARMA 1 MG/ 1 ML AMPUL,ATROPIN SÜLFAT,Diğer / Sınıflandırılamadı
DAYLEP XR 1000 MG FILM KAPLI TABLET,Levetirasetam,Diğer / Sınıflandırılamadı
DESARELIB 5MG FILM TABLET,DESLORATADIN,Diğer / Sınıflandırılamadı
PRADOSE 0.5 MG TABLET,PRAMIPEKSOL DIHIDROKLORÜR MONOHIDRAT,Diğer / Sınıflandırılamadı
PRADOSE 1.5 MG TABLET,PRAMIPEKSOL DIHIDROKLORÜR MONOHIDRAT,Diğer / Sınıflandırılamadı
SALBUDAY 200 MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,SALBUTAMOL SÜLFAT,Solunum
DAYLEP XR 500MG FILM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
MAJEZIK 100MG FILM TABLET,Flurbiprofen,Diğer / Sınıflandırılamadı
TEXEF 200 MG FİLM TABLET,SEFPODOKSİM PROKSETİL,Diğer / Sınıflandırılamadı
%1.5 GLISIN İRIGASYON SOLÜSYONU,GLISIN,Diğer / Sınıflandırılamadı
BATTICON POMAD,POVIDON IYOD,Diğer / Sınıflandırılamadı
NATMET 120 MG-1000 MG TEDAVI PAKETI,"NATEGLINID, METFORMIN HIDROKLORÜR",Diğer / Sınıflandırılamadı
NATPLUS 180 MG-1000 MG TEDAVI PAKETI,"NATEGLINID, METFORMIN HIDROKLORÜR",Diğer / Sınıflandırılamadı
TROMCARDIN AMPUL,RASEMIK POTASYUM ASPARTAT HEMIHIDRAT;RASEMIK MAGNEZYUM ASPARTAT TETRAHIDRAT,Diğer / Sınıflandırılamadı
"SODYUM BIKARBONAT % 8,4 (MOLAR) AMPUL",SODYUM BIKARBONAT,Diğer / Sınıflandırılamadı
"TRAUMAMINE %6,9 AMINOASIT SOLÜSYONU(CAM ŞIŞEDE)",KT IÇERIĞINE BAKıNıZ,Diğer / Sınıflandırılamadı
ÜROREC 8MG KAPSÜL,Silodosin,Diğer / Sınıflandırılamadı
AERRANE 100 ML VOLATIL SOLÜSYONU,İZOFLURAN,Diğer / Sınıflandırılamadı
LODIGREL 75MG FILM KAPLI TABLET,KLOPIDOGREL HIDROJEN SÜLFAT,Diğer / Sınıflandırılamadı
"MAJEZIK %5 TOPIKAL SPREY, ÇÖZELTİ",FLURBIPROFEN,Diğer / Sınıflandırılamadı
ARIZOPRESS 10MG TABLET,Aripiprazol,Diğer / Sınıflandırılamadı
ARIZOPRESS 15MG TABLET,ARIPIPRAZOL,Diğer / Sınıflandırılamadı
ARIZOPRESS 20MG TABLET,ARIPIPRAZOL,Diğer / Sınıflandırılamadı
ARIZOPRESS 30MG TABLET,ARIPIPRAZOL,Diğer / Sınıflandırılamadı
LEODEX 25MG ORAL ÇÖZELTI İÇIN GRANÜL İÇEREN SAŞE,DEKSKETOPROFEN TROMETAMOL,Ağrı Kesici
"PRADOSE 0,125 MG TABLET",PRAMIPEKSOL DIHIDROKLORÜR MONOHIDRAT,Diğer / Sınıflandırılamadı
"PRADOSE 0,25 MG TABLET KT",PRAMIPEKSOL DIHIDROKLORÜR MONOHIDRAT,Diğer / Sınıflandırılamadı
PRADOSE 1 MG TABLET,PRAMIPEKSOL DIHIDROKLORÜR MONOHIDRAT,Diğer / Sınıflandırılamadı
KORTOS SUPOZITUVAR,"HIDROKORTIZON ASETAT, POLIDOKANOL",Diğer / Sınıflandırılamadı
TROPHAMINE ENJEKTABL %6 AMINOASIT SOLÜSYONU(CAM ŞIŞEDE) -,"ESANSIYEL AMINO ASITLER, ESANSIYEL OLMAYAN AMINO ASITLER (KT IÇERIĞINE BAKINIZ)",Diğer / Sınıflandırılamadı
PANİZARO 4.5G IV İNFÜZYON İÇİN LİYOFİLİZE TOZ İÇEREN FLAKON,PIPERASILIN SODYUM,Diğer / Sınıflandırılamadı
PIGUS 50 MG SERT JELATIN KAPSÜL,PREGABALIN,Diğer / Sınıflandırılamadı
ROSER 100MG TABLET,TRIMEBUTIN MALEAT,Diğer / Sınıflandırılamadı
ROSER FORT 200MG TABLET,TRIMEBUTIN MALEAT,Diğer / Sınıflandırılamadı
ANTISTAX 180MG SERT JELATIN KAPSÜL,KIRMIZI ÜZÜM YAPRAĞI KURU EKSTRESI,Diğer / Sınıflandırılamadı
OXCARIL 150MG FILM TABLET,OKSKARBAZEPIN,Diğer / Sınıflandırılamadı
OXCARIL 300MG FILM TABLET,OKSKARBAZEPIN,Diğer / Sınıflandırılamadı
OXCARIL 600MG FILM TABLET,OKSKARBAZEPIN,Diğer / Sınıflandırılamadı
OPTIVE % 0.5 LUBRIKANT GÖZ DAMLASI,KARMELOZ SODYUM,Diğer / Sınıflandırılamadı
ANTI ASIDOZ YUMUŞAK JELATIN KAPSÜL 500MG,SODYUM BIKARBONAT,Diğer / Sınıflandırılamadı
AZO GANTRISIN LAK TABLET,"SÜLFIZOKSAZOL,FENAZOPIRIDIN HIDROKLORÜR",Diğer / Sınıflandırılamadı
GAMAKUIL SUPOZITUVAR,FENPROBAMAT,Diğer / Sınıflandırılamadı
TANATRIL 10MG TABLET,İMIDAPRIL,Diğer / Sınıflandırılamadı
TANATRIL 20MG TABLET,İMIDAPRIL,Diğer / Sınıflandırılamadı
TANATRIL 5MG TABLET,İMIDAPRIL,Diğer / Sınıflandırılamadı
THIOCILLINE GÖZ POMADI,"BASITRASIN,NEOMISIN SÜLFAT",Diğer / Sınıflandırılamadı
CEFBIR 125MG/5ML ORAL SÜSPANSIYON HAZIRLAMAK İÇIN KURU TOZ,SEFDINIR,Diğer / Sınıflandırılamadı
SYNAREL NAZAL SPREY,NAFARELIN ASETAT,Diğer / Sınıflandırılamadı
DIAZEM 10 MG KAPSÜL,DIAZEPAM,Diğer / Sınıflandırılamadı
AURORİX 150 MG FİLM KAPLI TABLET- ÇERKEZKÖY,MOKLOBEMİD,Diğer / Sınıflandırılamadı
AURORİX 150 MG FİLM KAPLI TABLET- GEBZE,MOKLOBEMİD,Diğer / Sınıflandırılamadı
AURORIX 300 MG FILM KAPLI TABLET- (ÇERKEZKÖY),MOKLOBEMID,Diğer / Sınıflandırılamadı
DERIVERIN MERHEM,"ALUMINYUM HIDROKSIT,ÇINKO OKSIT,BORIK ASIT,PERU BALSAMI",Diğer / Sınıflandırılamadı
DIAZEM 2 MG KAPSÜL,DIAZEPAM,Diğer / Sınıflandırılamadı
DIAZEM 5 MG KAPSÜL,DIAZEPAM,Diğer / Sınıflandırılamadı
JUSTUS 25 MG ÇENTIKLI FILM TABLET,DEKSKETOPROFEN TROMETAMOL,Ağrı Kesici
SII-BCG 1 ML ID ENJEKSIYONLUK SÜSPANSIYON IÇIN LIYOFILIZE TOZ IÇEREN ÇOK DOZLU FLAKON,BCG AŞISI CANLI ATENÜE,Diğer / Sınıflandırılamadı
AIRLINE 4 MG ÇIĞNEME TABLETI,MONTELUKAST SODYUM,Solunum
AIRLINE 5 MG ÇIĞNEME TABLETI,MONTELUKAST SODYUM,Solunum
AIRLINE 10 MG FILM KAPLI TABLET,MONTELUKAST SODYUM,Solunum
BUSPON 5 MG KAPSÜL,BUSPIRON HIDROKLORÜR,Diğer / Sınıflandırılamadı
LOURES 10 MG/ML ORAL DAMLA,ESSITALOPRAM,Diğer / Sınıflandırılamadı
SEMPREX 8MG KAPSÜL,AKRIVASTIN,Diğer / Sınıflandırılamadı
TENSART 4 MG TABLET,KANDESARTAN SILEKSETIL,Kalp/Tansiyon
DUESONIT 18/200 MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"TIOTROPIUM BROMÜR ANHIDRUS, SIKLESONID",Diğer / Sınıflandırılamadı
DUESONIT 18/400 MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"TIOTROPIUM BROMÜR ANHIDRUS, SIKLESONID",Diğer / Sınıflandırılamadı
QUELEPT 200 MG FILM TABLET,KETIAPIN FUMARAT,Diğer / Sınıflandırılamadı
DOXOMAX 200 MG EFERVESAN TABLET,DOKSOFILIN,Diğer / Sınıflandırılamadı
DOXOMAX 400 MG EFERVESAN TABLET,DOKSOFILIN,Diğer / Sınıflandırılamadı
CALCİDAY G 1200 MG/800 IU/50 MG EFERVESAN TABLET,"KALSIYUM KARBONAT, D3 VITAMINI, GENISTEIN",Diğer / Sınıflandırılamadı
APO-ALPRAZ 1MG TABLET,ALPRAZOLAM,Diğer / Sınıflandırılamadı
AS-RİSPER 1MG/ML ORAL ÇÖZELTİ,RISPERIDON,Diğer / Sınıflandırılamadı
İNEGY10/20 MG TABLET,EZETIMIB-SIMVASTATIN,Diğer / Sınıflandırılamadı
İNEGY10/40 MG TABLET,EZETIMIB-SIMVASTATIN,Diğer / Sınıflandırılamadı
İNEGY10/80 MG TABLET,EZETIMIB-SIMVASTATIN,Diğer / Sınıflandırılamadı
İNEGY10/10 MG TABLET,EZETIMIB-SIMVASTATIN,Diğer / Sınıflandırılamadı
BIOXININ %2 DERI SPREYI,MINOKSIDIL,Diğer / Sınıflandırılamadı
BIOXININ %5 FORTE DERI SPREYI,MINOKSIDIL,Diğer / Sınıflandırılamadı
CLOTINAB 10MG/5ML I.V. ENJEKSIYON İÇIN ÇÖZELTI İÇEREN FLAKON,ABSIKSIMAB,Diğer / Sınıflandırılamadı
OFANS ODT 10 MG AĞIZDA DAĞILAN TABLET,OLANZAPIN,Diğer / Sınıflandırılamadı
OFANS ODT 15 MG AĞIZDA DAĞILAN TABLET,OLANZAPIN,Diğer / Sınıflandırılamadı
OFANS ODT 5 MG AĞIZDA DAĞILAN TABLET,OLANZAPIN,Diğer / Sınıflandırılamadı
ANAPOLON 50MG TABLET,OKSIMETOLON,Diğer / Sınıflandırılamadı
"CIPRALEX 10 MG/ML ORAL DAMLA, SOLÜSYON",ESSITALOPRAM,Diğer / Sınıflandırılamadı
LAKTATLI RINGER SOLÜSYONU (MEDIFLEKS TORBADA),KÜB IÇERIĞINE BAKINIZ.,Diğer / Sınıflandırılamadı
HAEMOCTIN SDH 1000 IU,FAKTÖR VIII,Diğer / Sınıflandırılamadı
HAEMOCTIN SDH 250 IU,FAKTÖR VIII,Diğer / Sınıflandırılamadı
DOMINGO 10/10/80 MG EFERVESAN TABLET,"DONEPEZIL HIDROKLORÜR, MEMANTIN HIDROKLORÜR, GINKGO BILOBA KURU EKSTRESI",Diğer / Sınıflandırılamadı
DOMINGO 10/20/80 MG EFERVESAN TABLET,"DONEPEZIL HIDROKLORÜR, MEMANTIN HIDROKLORÜR, GINKGO BILOBA KURU EKSTRESI",Diğer / Sınıflandırılamadı
DOMINGO 5/10/80 MG EFERVESAN TABLET,"DONEPEZIL HIDROKLORÜR, MEMANTIN HIDROKLORÜR, GINKGO BILOBA KURU EKSTRESI",Diğer / Sınıflandırılamadı
DOMINGO 5/20/80 MG EFERVESAN TABLET,"DONEPEZIL HIDROKLORÜR, MEMANTIN HIDROKLORÜR, GINKGO BILOBA KURU EKSTRESI",Diğer / Sınıflandırılamadı
DOMINGO 5/5/80 MG EFERVESAN TABLET,"DONEPEZIL HIDROKLORÜR, MEMANTIN HIDROKLORÜR, GINKGO BILOBA KURU EKSTRESI",Diğer / Sınıflandırılamadı
GLYNOSE 100 MG TABLET,AKARBOZ,Diğer / Sınıflandırılamadı
GLYNOSE 50 MG TABLET,AKARBOZ,Diğer / Sınıflandırılamadı
HEPA-MERZ GRANÜL,L-ORNITIN L-ASPARTAT,Diğer / Sınıflandırılamadı
FIXCORT 4.5/80MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"FORMOTEROL FUMARAT DIHIDRAT, BUDESONID",Solunum
LEMUS 1MG KAPSÜL,Takrolimus Monohidrat,Diğer / Sınıflandırılamadı
LEMUS 5MG KAPSÜL,Takrolimus Monohidrat,Diğer / Sınıflandırılamadı
CORTIMYCINE GÖZ POMADI,HIDROKORTIZON ASETAT,Diğer / Sınıflandırılamadı
OLZANID 10MG FILM TABLET,Olanzapin,Diğer / Sınıflandırılamadı
OLZANID 5MG FILM TABLET,Olanzapin,Diğer / Sınıflandırılamadı
CARDYN 10 MG FILM KAPLI TABLET,ATORVASTATIN,Diğer / Sınıflandırılamadı
CARDYN 20 MG FILM KAPLI TABLET,ATORVASTATIN,Diğer / Sınıflandırılamadı
CARDYN 40 MG FILM KAPLI TABLET,ATORVASTATIN,Diğer / Sınıflandırılamadı
FLEBOGAMMA %5 0.5G/10 ML IV İNFÜZYON İÇIN SOLÜSYON İÇEREN FLAKON,İNSAN İMMUNGLOBULINI,Diğer / Sınıflandırılamadı
FLEBOGAMMA %5 2.5G/50 ML IV İNFÜZYON İÇIN SOLÜSYON İÇEREN FLAKON,İNSAN İMMUNGLOBULINI,Diğer / Sınıflandırılamadı
AEROFOR 12MCG İNHALASYON İÇIN TOZ İÇEREN BLISTER,FORMOTEROL FUMARAT DIHIDRAT,Solunum
RABBY-D10 MG ENTERIK KAPLI TABLET,Deksrabeprazol sodyum,Mide
DERMO-TROSYD %1 DERİ KREMİ,TİOKONAZOL,Diğer / Sınıflandırılamadı
"CALENDA PLUS 20MG/12,5MG FILM TABLET",OLMESARTAN MEDOKSOMIL+HIDROKLOROTIYAZID,Diğer / Sınıflandırılamadı
CALENDA PLUS 20MG/25MG FILM TABLET,OLMESARTAN MEDOKSOMIL+HIDROKLOROTIYAZID,Diğer / Sınıflandırılamadı
DE-NOL 300MG YUTMA TABLETI,Kolloidal Bizmut Subsitrat,Diğer / Sınıflandırılamadı
DROTUS 30MG/5ML ŞURUP,Levodropropizin,Diğer / Sınıflandırılamadı
HIRBES 150MG FILM KAPLI TABLET,İrbesartan,Diğer / Sınıflandırılamadı
HIRBES 75MG FILM KAPLI TABLET,İrbesartan,Diğer / Sınıflandırılamadı
LIXICOL 50 MG İ.M/İ.V. ENJEKSIYON İÇIN LIYOFILIZE TOZ İÇEREN FLAKON,KOLISTIMETAT SODYUM,Diğer / Sınıflandırılamadı
LIXICOL 75 MG İ.M/İ.V. ENJEKSIYON İÇIN LIYOFILIZE TOZ İÇEREN FLAKON,Kolistimetat sodyum,Diğer / Sınıflandırılamadı
LIXICOL 75 MG İ.M/İ.V. ENJEKSIYON İÇIN LIYOFILIZE TOZ İÇEREN FLAKON,KOLISTIMETAT SODYUM,Diğer / Sınıflandırılamadı
MIGLITEC 50 MG,MIGLITOL,Diğer / Sınıflandırılamadı
MIGLITEC 50MG TABLET,Miglitol,Diğer / Sınıflandırılamadı
TEXEF 100MG/5ML ORAL SÜSPANSIYON HAZIRLAMAK İÇIN KURU TOZ 100 ML,SEFPODOKSIM PROKSETIL,Diğer / Sınıflandırılamadı
TEXEF 50MG/5ML ORAL SÜSPANSIYON HAZIRLAMAK İÇIN KURU TOZ 100 ML,Sefpodoksim proksetil,Diğer / Sınıflandırılamadı
VANCOMYCIN HCL DBL 1 G LIYOFILIZE TOZ İÇEREN IV ENJEKTABL FLAKON,Vankomisin HCl,Diğer / Sınıflandırılamadı
TEXEF 50MG/5ML ORAL SÜSPANSIYON HAZIRLAMAK İÇIN KURU TOZ 100 ML,SEFPODOKSIM PROKSETIL,Diğer / Sınıflandırılamadı
VANCOMYCIN HCL DBL 500 MG LIYOFILIZE TOZ İÇEREN IV ENJEKTABL FLAKON,VANKOMISIN HCL,Diğer / Sınıflandırılamadı
FORBUDAY 9+320MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"9mcg Formoterol fumarat dihidrat, 320mcg budesonid",Solunum
"FORBUDAY 4,5+80MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL","4.5MCG FORMOTEROL FUMARAT DIHIDRAT, 80MCG BUDESONID",Solunum
FORBUDAY 4.5+160MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"4.5mcg Formoterol fumarat dihidrat, 160mcg budesonid",Solunum
EUCARBON TABLET,"BITKISEL KÖMÜR, KÜKÜRT, SENNE YAPRAĞı TOZU, RUBARB EKSTRESI",Diğer / Sınıflandırılamadı
TEOBAG 200 MG ENJEKTABL ÇÖZELTI,TEOFILIN ANHIDR+DEKSTROZ,Diğer / Sınıflandırılamadı
TEOBAG 400 MG ENJEKTABL ÇÖZELTI,TEOFILIN ANHIDR+DEKSTROZ,Diğer / Sınıflandırılamadı
GABENYL 600 MG FILM KAPLI TABLET,GABAPENTIN,Diğer / Sınıflandırılamadı
GABENYL 800 MG FILM KAPLI TABLET,GABAPENTIN,Diğer / Sınıflandırılamadı
"LEZIN 0,5 MG/ML ORAL ÇÖZELTI",Levosetirizin dihidroklorür,Diğer / Sınıflandırılamadı
FIXOSS 70MG/5600 IU +1000MG TEDAVI PAKETI,"ALENDRONAT SODYUM TRIHIDRAT, VITAMIN D3",Diğer / Sınıflandırılamadı
AZİMBRA 80MG FİLM TABLET,ATORVASTATİN KALSİYUM TRİHİDRAT,Kolesterol
AZIMBRA 40 MG FILM TABLET,ATORVASTATIN KALSIYUM TRIHIDRAT,Diğer / Sınıflandırılamadı
MEMOTEC 10MG FILM TABLET,MEMANTIN HCL,Diğer / Sınıflandırılamadı
"RESPIDAY 4,5/80MCG İNHALASYON İÇIN TOZ İÇEREN BLISTER","Formoterol fumarat dihidrat, Budesonid",Solunum
RESPIDAY 9/320MCG İNHALASYON İÇIN TOZ İÇEREN BLISTER,"Formoterol fumarat dihidrat, Budesonid",Solunum
AZIMBRA 10MG FILM TABLET,ATORVASTATIN KALSIYUM TRIHIDRAT,Diğer / Sınıflandırılamadı
FORMONID 12+200MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"Formoterol fumarat dihidrat, budesonid",Solunum
FORMONID 12+400MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"Formoterol fumarat dihidrat, budesonid",Solunum
LODITEN 10MG/10MG EFERVESAN TABLET,"AMLODİPİN BESİLAT, ROSUVASTATİN KALSİYUM",Kalp/Tansiyon
LODITEN 10MG/20MG EFERVESAN TABLET,"AMLODİPİN BESİLAT, ROSUVASTATİN KALSİYUM",Kalp/Tansiyon
LODITEN 10MG/5MG EFERVESAN TABLET,"AMLODİPİN BESİLAT, ROSUVASTATİN KALSİYUM",Kalp/Tansiyon
"RESPIDAY 4,5/160MCG İNHALASYON İÇIN TOZ İÇEREN BLISTER","Formoterol fumarat dihidrat, Budesonid",Solunum
SODYUM BIKARBONAT %8.4 AMPUL,Sodyum bikarbonat,Diğer / Sınıflandırılamadı
TRACTOCILE 7.5 MG/ML ENJEKSIYONLUK SOLÜSYON,ATOSIBAN,Diğer / Sınıflandırılamadı
TRACTOCILE 7.5 MG/ML INFÜZYON SOLÜSYONU IÇIN KONSANTRE,Atosiban,Diğer / Sınıflandırılamadı
TULAIR 1MG/5ML ŞURUP,TULOBUTEROL HIDROKLORÜR,Diğer / Sınıflandırılamadı
İBAMAX 150MG FILM TABLET,İBANDRONAT SODYUM,Diğer / Sınıflandırılamadı
TREKSO 20MG/0.5ML I.V. İNFÜZYON İÇIN KONSANTRE ÇÖZELTI İÇEREN FLAKON,DOSETAKSEL,Diğer / Sınıflandırılamadı
TREKSO 80MG/2.0ML I.V. İNFÜZYON İÇIN KONSANTRE ÇÖZELTI İÇEREN FLAKON,DOSETAKSEL,Diğer / Sınıflandırılamadı
VARLES 50MG FILM KAPLI TABLET,Deksketoprofen trometamol,Ağrı Kesici
DUERID 30/4MG TABLET,"PIOGLITAZON HIDROKLORÜR, GLIMEPIRID",Diğer / Sınıflandırılamadı
AMLOROS 10MG/10MG FILM KAPLI TABLET,"Amlodipin besilat, rosuvastatin kalsiyum",Diğer / Sınıflandırılamadı
AMLOROS 10MG/20MG FILM KAPLI TABLET,"Amlodipin besilat, rosuvastatin kalsiyum",Diğer / Sınıflandırılamadı
AMLOROS 10MG/5MG FILM KAPLI TABLET,"Amlodipin besilat, rosuvastatin kalsiyum",Diğer / Sınıflandırılamadı
TAZOJECT 4.5 G İ.V. ENJEKSIYONLUK LIYOFILIZE TOZ İÇEREN FLAKON,PIPERASILIN SODYUM+TAZOBAKTAM SODYUM,Diğer / Sınıflandırılamadı
CALCIM PICKEN %10 APMUL,"KALSIYUM GLUKONAT MONOHIDRAT, KALSIYUM LEVÜLINAT DIHIDRAT",Diğer / Sınıflandırılamadı
ENCEF 300MG KAPSÜL,SEFDİNİR,Diğer / Sınıflandırılamadı
DECAPEPTYL 0.1 MG/ML ENJEKTABL SOLÜSYON,TRIPTORELIN ASETAT,Diğer / Sınıflandırılamadı
FERRO SANOL DAMLA,DEMIR(II)GLISIN SÜLFAT KOMPLEKSI,Diğer / Sınıflandırılamadı
DUERID 30/2MG TABLET,"PIOGLITAZON HIDROKLORÜR, GLIMEPIRID",Diğer / Sınıflandırılamadı
FLEXIMAT %10 JEL,ETOFENAMAT,Diğer / Sınıflandırılamadı
QUALTAN 40 MG TABLET,TELMISARTAN,Diğer / Sınıflandırılamadı
QUALTAN 80 MG TABLET,TELMISARTAN,Diğer / Sınıflandırılamadı
RABECOMB 20/30MG MR KAPSÜL,"Rabeprazol sodyum, domperidon",Mide
SPIMET 1.5 MIU/250 MG FILM TABLET,"SPIRAMISIN, METRONIDAZOL",Diğer / Sınıflandırılamadı
THERMO SULIDIN LIKIT JEL,"NİMESULİD, %0.025 KAPSAİSİN",Diğer / Sınıflandırılamadı
TIOMOM 18/400MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"TIOTROPIUM BROMÜR ANHIDRUS, MOMETAZON FUROAT",Diğer / Sınıflandırılamadı
GYNO-TROSYD 100 MG VAJINAL TABLET,TIOKONAZOL,Diğer / Sınıflandırılamadı
ALGOS 18MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,Tiotropium bromür anhidrus,Diğer / Sınıflandırılamadı
FORMONID 12/200MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"Formoterol fumarat dihidrat, budesonid",Solunum
FORMONID 12/400MCG İNHALASYON İÇIN TOZ İÇEREN KAPSÜL,"Formoterol fumarat dihidrat, budesonid",Solunum
İNFEX 50 MG GRANÜL İÇEREN SAŞE,Sefpodoksim proksetil,Diğer / Sınıflandırılamadı
BETOLVEX 1 MG/ML AMPUL,SIYANOKOBALAMIN,Diğer / Sınıflandırılamadı
"GENTAMED %0,3 STERIL GÖZ-KULAK DAMLASI",GENTAMISIN,Diğer / Sınıflandırılamadı
MOLEV 1000 MG FILM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
MOLEV 500 MG FILM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
"WINCEF PLUS 180 MG-62,5 MG/5ML ORAL SÜSPANSIYON HAZIRLANMASI İÇIN TOZ KARIŞIM","SEFTIBUTEN DIHIDRAT, POTASYUM KLAVULANAT-SYLOID",Diğer / Sınıflandırılamadı
VAGI-HEX VAJINAL TABLET,HEKSETIDIN,Diğer / Sınıflandırılamadı
NYOLOL %0.1 STERIL OFTALMIK JEL,Timolol maleat,Diğer / Sınıflandırılamadı
GLYPRESSIN 1MG/8.5ML IV ENJEKSIYONLUK ÇÖZELTI İÇEREN AMPUL,TERLIPRESSIN,Diğer / Sınıflandırılamadı
OLIGMA 0.5MG KAPSÜL,TAKROLIMUS MONOHIDRAT,Diğer / Sınıflandırılamadı
OLIGMA 1MG KAPSÜL,TAKROLIMUS MONOHIDRAT,Diğer / Sınıflandırılamadı
OLIGMA 5MG KAPSÜL,TAKROLIMUS MONOHIDRAT,Diğer / Sınıflandırılamadı
ACTILYSE 20 MG FLAKON,ALTEPLAZ,Diğer / Sınıflandırılamadı
İNFEX 100 MG GRANÜL İÇEREN SAŞE,SEFPODOKSIM PROKSETIL,Diğer / Sınıflandırılamadı
KETOMINO FILM KAPLI TABLET,Amino asit ve Keto asit Kombinasyonu,Diğer / Sınıflandırılamadı
NEUROBER 25MG SERT KAPSÜL,Pregabalin,Diğer / Sınıflandırılamadı
CANDIMAX 150 MG KAPSÜL (1 KAPSÜL IÇIN),FLUKONAZOL,Diğer / Sınıflandırılamadı
MODIVID 1 G IM/IV ENJEKTABL TOZ IÇEREN FLAKON,SEFODIZIM DISODYUM,Diğer / Sınıflandırılamadı
MODIVID 2.0 G IV STERIL FLAKON,Amilorid,Diğer / Sınıflandırılamadı
MODURETIC TABLET,Amilorid,Diğer / Sınıflandırılamadı
NABIFIL 120MG FILM TABLET,Nateglinid,Diğer / Sınıflandırılamadı
NEUROBER 150MG SERT KAPSÜL,Pregabalin,Diğer / Sınıflandırılamadı
NEUROBER 300MG SERT KAPSÜL,Pregabalin,Diğer / Sınıflandırılamadı
NEUROBER 75MG SERT KAPSÜL,Pregabalin,Diğer / Sınıflandırılamadı
PITAMEX 1000/125MG EFERVESAN TABLET,"Sefaklor monohidrat, Potasyum Klavulanat",Diğer / Sınıflandırılamadı
SPESTA 35MG TABLET,Risedronat sodyum,Diğer / Sınıflandırılamadı
ULTRALAN KREM,"Fluokortolon pivalat, Fluokortolon kaproat",Diğer / Sınıflandırılamadı
AMLOROS 5MG/10MG FILM KAPLI TABLET,"Amlodipin besilat, rosuvastatin kalsiyum",Diğer / Sınıflandırılamadı
AMLOROS 5MG/20MG FILM KAPLI TABLET,"Amlodipin besilat, rosuvastatin kalsiyum",Diğer / Sınıflandırılamadı
AMLOROS 5MG/5MG FILM KAPLI TABLET,"Amlodipin besilat, rosuvastatin kalsiyum",Diğer / Sınıflandırılamadı
VANCERYL 25 MG ÇENTIKLI FILM TABLET,Deksketoprofen trometamol,Ağrı Kesici
ALMENTA 10MG/G ORAL DAMLA,MEMANTIN HCL,Diğer / Sınıflandırılamadı
