drug_name,active_ingredient,category
SPINRAZA 12 MG/5 ML İNTRATEKAL ENJEKSIYONLUK ÇöZELTI (ÜRETIM YERI VETTER PHARMA),NUSINERSEN,Diğer / Sınıflandırılamadı
TRUQAP 160 MG FILM KAPLı TABLET,KAPIVASERTIB,Diğer / Sınıflandırılamadı
TRUQAP 200 MG FILM KAPLı TABLET,KAPIVASERTIB,Diğer / Sınıflandırılamadı
NUCALA 100 MG/ML SC ENJEKSIYONLUK ÇöZELTİ İÇEREN KULLANıMA HAZıR ENJEKTÖR,MEPOLIZUMAB,Diğer / Sınıflandırılamadı
PRONAT ADVANCE 100 MG+20 MG ORAL  SüSPANSIYON,SODYUM ALJINAT / POTASYUM BIKARBONAT,Diğer / Sınıflandırılamadı
HYDMOXIA 500 MG SERT KAPSüL,HIDROKSIKARBAMID,Diğer / Sınıflandırılamadı
NUCALA 100 MG/ML SC ENJEKSIYONLUK ÇöZELTİ İÇEREN KULLANIMA HAZıR KALEM,MEPOLIZUMAB,Diğer / Sınıflandırılamadı
ELOCTA 250 I.U ENJEKSIYONLUK ÇöZELTI HAZıRLAMAK İçIN TOZ VE ÇöZüCü,EFMOROKTOKOG ALFA,Diğer / Sınıflandırılamadı
ELOCTA 500 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,EFMOROKTOKOG ALFA,Diğer / Sınıflandırılamadı
ELOCTA 1000 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,EFMOROKTOKOG ALFA,Diğer / Sınıflandırılamadı
ELOCTA 1500 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,EFMOROKTOKOG ALFA,Diğer / Sınıflandırılamadı
ELOCTA 2000 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,EFMOROKTOKOG ALFA,Diğer / Sınıflandırılamadı
ELOCTA 3000 I.U ENJEKSIYONLUK ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,EFMOROKTOKOG ALFA,Diğer / Sınıflandırılamadı
ERDOMUX 300 MG SERT KAPSüL,ERDOSTEIN,Diğer / Sınıflandırılamadı
"STREFEN INTENSIVE 8,75 MG BAL VE LIMON AROMALı PASTIL",FLURBIPROFEN,Diğer / Sınıflandırılamadı
ELAHERE 5 MG/ML İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN KONSANTRE,MİRVETUXİMAB SORAVTANSİN,Diğer / Sınıflandırılamadı
PRIMEFLEKS İZOMAX-M %5 DEKSTROZLU ELEKTROLIT I.V. İNFüZYONLUK ÇöZELTI,"DEKSTROZ MONOHIDRAT, SODYUM KLORüR, POTASYUM KLORüR, SODYUM ASETAT TRIHIDRAT, DIBAZIK POTASYUM FOSFAT",Diğer / Sınıflandırılamadı
HERICANT 30 MG/3 ML S.C. ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR ENJEKTöR,İKATIBANT ASETAT,Diğer / Sınıflandırılamadı
TREMFYA 200 MG/20 ML İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN KONSANTRE,GUSELKUMAB,Diğer / Sınıflandırılamadı
"ANFLU 0,5 ML IM ENJEKSIYONLUK SüSPANSIYON İçEREN KULLANıMA HAZıR ENJEKTöR","TRIVALAN İNFLUENZA AşıSı (SPLIT VIRION, INAKTIF)",Diğer / Sınıflandırılamadı
ERDOVENT 175 MG/5 ML ORAL SüSPANSIYON HAZıRLAMAK IçIN TOZ,ERDOSTEIN,Diğer / Sınıflandırılamadı
SIMALGEL 81 MG + 20 MG + 25 MG/ML ORAL SüSPANSIYON,"ALüMINYUM HIDROKSIT, MAGNEZYUM HIDROKSIT, SIMETIKON",Diğer / Sınıflandırılamadı
CERİNTA %1 MERHEM,CENTELLA ASIATICA,Diğer / Sınıflandırılamadı
CİPRONATİN 250 MG FİLM KAPLI TABLET,SİPROFLOKSASİN,Antibiyotik
LINEDOR 600 MG/300 ML I.V. İNFüZYON İçIN ÇöZELTI İçEREN TORBA,LINEZOLID,Diğer / Sınıflandırılamadı
INSOVEF 1 MG/ML ORAL ÇöZELTI,MELATONİN,Diğer / Sınıflandırılamadı
EMJARDI 10 MG FILM KAPLı TABLET,EMPAGLIFLOZIN,Diğer / Sınıflandırılamadı
EMJARDI 25 MG FILM KAPLı TABLET,EMPAGLIFLOZIN,Diğer / Sınıflandırılamadı
CLEOCİN FOSFAT 600 MG/4 ML IM/IV ENJEKSİYONLUK ÇÖZELTİ,KLİNDAMİSİN FOSFAT,Diğer / Sınıflandırılamadı
"OLPİXA 2,5 MG FILM KAPLı TABLET",APIKSABAN,Diğer / Sınıflandırılamadı
OLPİXA 5 MG FİLM KAPLI TABLET,APIKSABAN,Diğer / Sınıflandırılamadı
ZİEXTENZO 6 MG/0.6 ML S.C. ENJEKSİYON İÇİN ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKTÖR,PEGFILGRASTIM,Diğer / Sınıflandırılamadı
FUGAFYL 100 MG GASTRO REZISTAN TABLET,POSAKONAZOL,Diğer / Sınıflandırılamadı
MELLAREST 3 MG FILM KAPLı TABLET,MELATONIN,Diğer / Sınıflandırılamadı
OMLYCLO 150 MG/ML ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR ENJEKTöR,OMALIZUMAB,Diğer / Sınıflandırılamadı
"OMLYCLO 75 MG/0,5 ML ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR ENJEKTöR",OMALIZUMAB,Diğer / Sınıflandırılamadı
MIPRALIS 30 MG FILM KAPLı TABLET,APREMILAST,Diğer / Sınıflandırılamadı
"PRED FORTE %1 GÖZ DAMLASI, SÜSPANSİYON",PREDNİSOLON ASETAT,Diğer / Sınıflandırılamadı
MIPRALIS 10 MG + 20 MG + 30 MG FILM KAPLı TABLET TEDAVIYE BAşLAMA PAKETI,APREMILAST,Diğer / Sınıflandırılamadı
TIVICAY 5 MG DAğıLABILIR TABLET,DOLUTEGRAVIR SODYUM,Diğer / Sınıflandırılamadı
FEBUGUT 80 MG FİLM KAPLI TABLET,FEBUKSOSTAT,Diğer / Sınıflandırılamadı
TALCID 500 MG/5ML KULLANıMA HAZıR SüSPANSIYON,HIDROTALSIT,Diğer / Sınıflandırılamadı
TOREDA 1 MG FILM KAPLI TABLET,TOLTERODIN TARTARAT,Diğer / Sınıflandırılamadı
PEDİTUS ZERO 160 MG+1 MG/5 ML ŞURUP,PARASETAMOL + KLORFENIRAMIN MALEAT,Ağrı Kesici
PAROSET UNO PLUS 250 MG/5 ML SüSPANSIYON,PARASETAMOL,Ağrı Kesici
TİVİCAY 50 MG FILM KAPLı TABLET,DOLUTEGRAVIR,Diğer / Sınıflandırılamadı
LENATU 25 MG SERT KAPSüL,LENALIDOMID,Diğer / Sınıflandırılamadı
LENATU 10 MG SERT KAPSüL,LENALIDOMID,Diğer / Sınıflandırılamadı
LENATU 15 MG SERT KAPSüL,LENALIDOMID,Diğer / Sınıflandırılamadı
LENATU 5 MG SERT KAPSüL,LENALIDOMID,Diğer / Sınıflandırılamadı
CİPRONATİN 500 MG FİLM KAPLI TABLET,SİPROFLOKSASİN,Antibiyotik
TOREDA 2 MG FILM KAPLı TABLET,TOLTERODIN TARTARAT,Diğer / Sınıflandırılamadı
HYPERHEP B  5 ML (MINIMUM 220 IU/ML HEPATIT B ETKINLIğI) IM ENJEKSIYON IçIN çöZELTI  IçEREN FLAKON,HEPATİT B INSAN IMMUNGLOBULIN,Diğer / Sınıflandırılamadı
